,Data,value,capodanno,epifania,pasqua,ferragosto,natale,ultimodellanno,sabato,domenica,vigilia,santostefano,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
57,2010-02-27,104.886137,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
58,2010-02-28,91.276588,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
59,2010-03-01,122.951915,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,2010-03-02,147.164273,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,2010-03-03,145.81831699999995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,2010-03-04,136.323405,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63,2010-03-05,119.840007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,2010-03-06,131.336893,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
65,2010-03-07,105.310055,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
66,2010-03-08,128.93698999999998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67,2010-03-09,135.84345,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,2010-03-10,155.075077,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69,2010-03-11,182.340483,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
70,2010-03-12,148.850924,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71,2010-03-13,128.271874,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
72,2010-03-14,112.533955,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
73,2010-03-15,176.936491,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
74,2010-03-16,153.638083,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
75,2010-03-17,133.92584499999998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,2010-03-18,142.268053,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
77,2010-03-19,129.503491,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
78,2010-03-20,143.512884,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
79,2010-03-21,116.958781,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
80,2010-03-22,133.50709799999998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81,2010-03-23,137.197778,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
82,2010-03-24,125.321316,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83,2010-03-25,119.888958,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
84,2010-03-26,130.54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
85,2010-03-27,134.666187,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
86,2010-03-28,114.215155,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
87,2010-03-29,115.149217,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
88,2010-03-30,135.409251,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
89,2010-03-31,113.18168500000002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,2010-04-01,141.45740800000004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
91,2010-04-02,110.166763,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
92,2010-04-03,138.518936,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
93,2010-04-04,114.660058,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
94,2010-04-05,69.717735,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
95,2010-04-06,145.376606,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96,2010-04-07,144.520892,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
97,2010-04-08,165.861902,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
98,2010-04-09,124.404201,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
99,2010-04-10,140.39998899999998,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100,2010-04-11,122.655303,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
101,2010-04-12,136.820172,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
102,2010-04-13,124.520986,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103,2010-04-14,151.767257,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104,2010-04-15,150.43883300000005,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
105,2010-04-16,149.491651,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
106,2010-04-17,120.090753,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
107,2010-04-18,145.084,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
108,2010-04-19,126.993623,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
109,2010-04-20,115.222406,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
110,2010-04-21,129.877508,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111,2010-04-22,125.445961,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
112,2010-04-23,130.680482,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
113,2010-04-24,133.727393,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
114,2010-04-25,83.816693,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
115,2010-04-26,124.319828,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116,2010-04-27,151.23001399999995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
117,2010-04-28,124.248569,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118,2010-04-29,140.14677,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119,2010-04-30,122.492533,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,2010-05-01,68.098212,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
121,2010-05-02,114.553891,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
122,2010-05-03,113.301829,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
123,2010-05-04,118.513683,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
124,2010-05-05,141.77862199999996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125,2010-05-06,115.136916,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
126,2010-05-07,140.62156399999998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
127,2010-05-08,130.404275,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
128,2010-05-09,101.200102,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
129,2010-05-10,124.668932,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
130,2010-05-11,118.715108,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,2010-05-12,122.366156,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
132,2010-05-13,111.069416,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
133,2010-05-14,121.991727,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
134,2010-05-15,124.293497,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
135,2010-05-16,81.250589,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
136,2010-05-17,114.74986,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
137,2010-05-18,127.202106,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
138,2010-05-19,129.88763500000002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
139,2010-05-20,144.180012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
140,2010-05-21,122.320212,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
141,2010-05-22,107.32621,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
142,2010-05-23,74.370356,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
143,2010-05-24,120.569283,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
144,2010-05-25,146.330236,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
145,2010-05-26,142.01443500000005,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
146,2010-05-27,146.814992,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
147,2010-05-28,122.313292,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
148,2010-05-29,91.256338,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
149,2010-05-30,112.683316,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
150,2010-05-31,140.221887,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
151,2010-06-01,169.970856,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
152,2010-06-02,86.337264,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
153,2010-06-03,112.454174,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
154,2010-06-04,114.757525,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
155,2010-06-05,174.356437,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
156,2010-06-06,118.287619,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
